Cluster,Center_Latitude,Center_Longitude,Total_Accidents,Dominant_Severity,Dominant_Weather,Dominant_Road_Type,Average_Speed,Average_Casualties,Peak_Hour,Fatal_Count,Serious_Count,Slight_Count
1603,51.708427,-0.8347544,28,Slight,Fine No High Winds,Single Carriageway,54.29,1.5,7.0,0,3,25
2981,54.06067,-1.3898573,28,Slight,Fine No High Winds,Dual Carriageway,67.14,1.64,18.0,1,3,24
3483,51.7535,-3.1939855,28,Slight,Fine No High Winds,Single Carriageway,31.79,1.43,16.0,0,4,24
3294,52.260067,-0.12090979,28,Slight,Fine No High Winds,Single Carriageway,56.43,1.21,14.0,0,4,24
53,54.60493,-3.1640303,28,Slight,Fine No High Winds,Single Carriageway,60.0,1.93,17.0,0,5,23
3468,51.283833,0.23914924,28,Slight,Fine No High Winds,Single Carriageway,50.71,1.57,8.0,0,4,24
2361,51.022305,-2.6164496,28,Slight,Fine No High Winds,Single Carriageway,51.07,1.89,18.0,1,5,22
1873,51.184162,-0.70457554,28,Slight,Fine No High Winds,Single Carriageway,31.07,1.32,17.0,0,6,22
3528,53.834534,-1.4353226,28,Slight,Fine No High Winds,Single Carriageway,43.93,1.79,12.0,1,6,21
1872,51.190514,-0.7194538,28,Slight,Fine No High Winds,Single Carriageway,40.0,1.29,8.0,1,1,26
3527,53.683926,-1.376237,28,Slight,Fine No High Winds,Single Carriageway,45.36,1.68,8.0,2,11,15
3013,52.66726,-2.3078997,28,Slight,Fine No High Winds,Single Carriageway,58.21,1.89,17.0,2,4,22
3286,52.999245,-0.02173775,28,Slight,Fine No High Winds,Single Carriageway,48.57,1.57,14.0,1,4,23
3522,51.689022,-4.8629165,28,Slight,Fine No High Winds,Single Carriageway,60.0,1.75,10.0,2,4,22
2394,51.69947,-2.406198,28,Slight,Fine No High Winds,Single Carriageway,56.07,1.43,7.0,0,4,24
3307,51.924324,0.898615,28,Slight,Fine No High Winds,Dual Carriageway,60.36,1.71,7.0,0,5,23
1284,52.63799,-0.19921982,28,Slight,Fine No High Winds,Single Carriageway,58.93,1.64,18.0,1,5,22
3308,51.850945,1.0403668,28,Slight,Fine No High Winds,Single Carriageway,52.14,1.39,15.0,0,5,23
3315,50.673603,-1.2524627,28,Slight,Fine No High Winds,Single Carriageway,57.14,1.32,8.0,0,3,25
3318,50.74115,-1.6183388,28,Slight,Fine No High Winds,Single Carriageway,54.64,1.54,17.0,2,5,21
483,53.675285,-1.8684187,28,Slight,Fine No High Winds,Single Carriageway,28.21,1.21,13.0,2,3,23
1986,51.173946,1.3657192,28,Slight,Fine No High Winds,Single Carriageway,49.64,1.61,15.0,0,3,25
1815,51.255074,-1.1719885,28,Slight,Fine No High Winds,Single Carriageway,33.93,1.25,11.0,0,5,23
1359,52.328865,0.92107916,28,Slight,Fine No High Winds,Single Carriageway,46.43,1.61,16.0,1,5,22
3680,51.04731,-0.4296087,27,Slight,Fine No High Winds,Single Carriageway,50.37,1.44,17.0,0,6,21
3190,51.146782,-2.9002066,27,Slight,Fine No High Winds,Single Carriageway,48.89,2.11,7.0,2,4,21
3408,51.75983,-1.1563014,27,Slight,Fine No High Winds,Dual Carriageway,68.52,1.19,20.0,1,6,20
760,52.228287,-2.8206182,27,Slight,Fine No High Winds,Single Carriageway,60.0,1.63,10.0,0,5,22
3195,51.88671,-1.7618308,27,Slight,Fine No High Winds,Single Carriageway,37.41,1.11,13.0,0,4,23
3149,50.927338,-0.5648105,27,Slight,Fine No High Winds,Single Carriageway,44.81,1.44,17.0,0,8,19
159,53.398026,-2.7020326,27,Slight,Fine No High Winds,Single Carriageway,35.19,1.41,17.0,1,5,21
3673,52.097115,0.32149097,27,Slight,Fine No High Winds,Dual Carriageway,64.81,1.96,17.0,4,4,19
3637,52.67441,-2.1716506,27,Slight,Fine No High Winds,Single Carriageway,31.11,1.3,8.0,0,1,26
3420,50.433853,-4.940332,27,Slight,Fine No High Winds,Single Carriageway,38.89,1.37,15.0,3,1,23
3466,51.03078,-1.0750619,27,Slight,Fine No High Winds,Single Carriageway,55.56,1.19,14.0,0,10,17
3643,51.025406,0.11150052,27,Slight,Fine No High Winds,Single Carriageway,51.85,1.15,18.0,1,8,18
3162,50.32704,-5.1312947,27,Slight,Fine No High Winds,Single Carriageway,44.44,1.63,12.0,2,2,23
849,52.561913,-1.705997,27,Slight,Fine No High Winds,Single Carriageway,61.48,1.41,12.0,0,2,25
3451,53.22309,0.29860798,27,Slight,Fine No High Winds,Single Carriageway,37.78,1.44,13.0,0,3,24
3457,52.657085,1.1271555,27,Slight,Fine No High Winds,Single Carriageway,59.63,1.63,10.0,2,5,20
3165,50.539715,-4.9404826,27,Slight,Fine No High Winds,Single Carriageway,32.59,1.11,9.0,0,4,23
3464,51.461548,-0.6469177,27,Slight,Fine No High Winds,Single Carriageway,51.11,1.48,7.0,2,3,22
3677,50.75495,-1.6114607,27,Slight,Fine No High Winds,Single Carriageway,30.37,1.33,8.0,0,5,22
3463,52.116814,-1.3724717,27,Slight,Fine No High Winds,Dual Carriageway,69.63,2.41,16.0,1,6,20
3269,53.466675,-1.1418769,27,Slight,Fine No High Winds,Single Carriageway,37.78,1.63,13.0,0,4,23
740,52.327896,-2.2590947,27,Slight,Fine No High Winds,Single Carriageway,40.37,1.56,16.0,0,3,24
3238,55.70107,-3.6885061,27,Slight,Fine No High Winds,Single Carriageway,58.89,1.78,14.0,1,6,20
3226,57.146957,-2.2180471,27,Slight,Fine No High Winds,Dual Carriageway,48.15,1.33,7.0,1,6,20
631,54.534542,-1.343254,27,Slight,Fine No High Winds,Single Carriageway,30.0,1.04,8.0,0,5,22
615,54.533375,-1.146512,27,Slight,Fine No High Winds,Single Carriageway,51.48,1.7,11.0,0,6,21
3339,50.488503,-3.6327062,27,Slight,Fine No High Winds,Single Carriageway,42.59,1.41,13.0,0,5,22
371,54.071735,-0.9181352,27,Slight,Fine No High Winds,Dual Carriageway,68.52,1.63,17.0,1,7,19
3584,53.181538,-3.3921087,27,Slight,Fine No High Winds,Single Carriageway,51.11,1.52,8.0,0,4,23
3323,51.155586,-0.112456925,27,Slight,Fine No High Winds,Single Carriageway,40.37,1.63,15.0,0,3,24
601,53.709423,-0.11135703,27,Slight,Fine No High Winds,Single Carriageway,30.0,1.41,16.0,1,6,20
212,53.110622,-2.2877562,27,Slight,Fine No High Winds,Single Carriageway,41.85,1.67,14.0,0,7,20
3521,51.773125,-4.964761,27,Slight,Fine No High Winds,Single Carriageway,55.56,1.37,17.0,1,4,22
3306,51.9086,-0.25375918,27,Slight,Fine No High Winds,Single Carriageway,60.0,1.59,8.0,2,2,23
