Cluster,Center_Latitude,Center_Longitude,Total_Accidents,Dominant_Severity,Dominant_Weather,Dominant_Road_Type,Average_Speed,Average_Casualties,Peak_Hour,Fatal_Count,Serious_Count,Slight_Count
1135,52.670414,-0.73133063,116,Slight,Fine No High Winds,Single Carriageway,30.34,1.14,16.0,0,13,103
2184,50.376015,-4.2024827,116,Slight,Fine No High Winds,Single Carriageway,34.31,1.18,15.0,1,13,102
2115,50.186157,-5.125842,116,Slight,Fine No High Winds,Single Carriageway,55.86,1.55,13.0,5,18,93
2580,51.73167,-3.1364534,115,Slight,Fine No High Winds,Single Carriageway,33.13,1.38,15.0,3,12,100
2336,50.8834,-2.793433,115,Slight,Fine No High Winds,Single Carriageway,31.39,1.17,15.0,0,9,106
101,53.708534,-2.7906857,115,Slight,Fine No High Winds,Single Carriageway,50.52,1.46,15.0,4,21,90
917,52.875134,-1.6248488,115,Slight,Fine No High Winds,Single Carriageway,50.7,1.23,8.0,1,11,103
2861,55.939198,-4.3204412,115,Slight,Fine No High Winds,Single Carriageway,30.7,1.19,8.0,1,13,101
2493,50.73216,-2.0644705,115,Slight,Fine No High Winds,Single Carriageway,56.61,1.32,16.0,2,17,96
112,53.716015,-2.561339,115,Slight,Fine No High Winds,Single Carriageway,57.48,1.71,8.0,2,16,97
1175,52.20897,-0.94252557,114,Slight,Fine No High Winds,Dual Carriageway,64.04,1.46,7.0,6,24,84
1223,52.607597,0.061191544,114,Slight,Fine No High Winds,Single Carriageway,49.91,1.45,16.0,1,14,99
237,53.200405,-2.357419,114,Slight,Fine No High Winds,Single Carriageway,35.0,1.29,8.0,1,22,91
879,53.11394,-1.5605857,114,Slight,Fine No High Winds,Single Carriageway,33.77,1.3,13.0,1,30,83
2740,57.179604,-2.1786573,114,Slight,Fine No High Winds,Single Carriageway,33.33,1.1,16.0,2,22,90
164,53.51654,-2.0408988,114,Slight,Fine No High Winds,Single Carriageway,31.23,1.54,14.0,0,14,100
2639,51.55489,-3.4016378,113,Slight,Fine No High Winds,Single Carriageway,50.53,1.72,13.0,5,5,103
1233,52.270855,-0.26086167,113,Slight,Fine No High Winds,Dual Carriageway,68.76,1.84,15.0,4,25,84
2323,50.986553,-3.1909661,113,Slight,Fine No High Winds,Single Carriageway,50.44,1.5,17.0,1,12,100
2329,51.501526,-2.3553991,113,Slight,Fine No High Winds,Dual Carriageway,63.1,1.5,17.0,3,8,102
1388,52.14672,1.0823005,112,Slight,Fine No High Winds,Dual Carriageway,58.21,1.59,8.0,1,17,94
1639,51.42124,-1.0221695,112,Slight,Fine No High Winds,Dual Carriageway,63.21,1.42,18.0,2,14,96
1369,52.047424,0.9542815,112,Slight,Fine No High Winds,Single Carriageway,36.25,1.3,17.0,1,16,95
2335,50.978577,-3.22942,112,Slight,Fine No High Winds,Single Carriageway,30.0,1.17,17.0,0,17,95
2587,51.75153,-3.2818623,112,Slight,Fine No High Winds,Single Carriageway,31.43,1.38,14.0,2,13,97
40,54.609882,-3.5228488,112,Slight,Fine No High Winds,Single Carriageway,49.02,1.54,16.0,2,10,100
95,53.67608,-2.8299468,112,Slight,Fine No High Winds,Single Carriageway,44.2,1.63,17.0,2,20,90
2463,51.43459,-2.1906464,112,Slight,Fine No High Winds,Single Carriageway,38.3,1.38,14.0,5,18,89
2883,56.410976,-5.471259,112,Slight,Fine No High Winds,Single Carriageway,30.0,1.05,15.0,0,15,97
2067,50.887703,-0.3239193,112,Slight,Fine No High Winds,Single Carriageway,39.64,1.23,15.0,1,18,93
981,52.948723,-0.95109594,111,Slight,Fine No High Winds,Single Carriageway,45.59,1.33,17.0,3,25,83
407,54.24504,-0.7776073,111,Slight,Fine No High Winds,Single Carriageway,31.53,1.18,14.0,0,23,88
519,53.587196,-1.1586405,111,Slight,Fine No High Winds,Single Carriageway,58.02,1.72,15.0,5,17,89
1267,52.098488,0.1379442,111,Slight,Fine No High Winds,Dual Carriageway,60.0,1.26,18.0,2,15,94
1564,51.81455,0.74812603,111,Slight,Fine No High Winds,Single Carriageway,35.95,1.3,12.0,2,24,85
1914,51.34093,0.27131185,111,Slight,Fine No High Winds,Dual Carriageway,57.84,1.6,15.0,2,19,90
2248,50.484737,-3.7725453,110,Slight,Fine No High Winds,Single Carriageway,52.91,1.35,16.0,0,12,98
1495,51.876827,0.6980457,110,Slight,Fine No High Winds,Single Carriageway,54.0,1.45,15.0,3,31,76
1217,52.229103,-0.10378211,110,Slight,Fine No High Winds,Single Carriageway,59.55,1.42,16.0,3,13,94
329,54.757896,-1.3890938,110,Slight,Fine No High Winds,Single Carriageway,36.73,1.51,15.0,2,22,86
719,52.2126,-2.159058,110,Slight,Fine No High Winds,Dual Carriageway,60.09,1.25,16.0,3,6,101
1922,51.22084,0.5911103,110,Slight,Fine No High Winds,Single Carriageway,36.64,1.51,7.0,1,13,96
597,53.93048,-0.7783041,110,Slight,Fine No High Winds,Single Carriageway,30.09,1.17,16.0,2,17,91
170,53.586708,-2.663998,110,Slight,Fine No High Winds,Single Carriageway,30.18,1.36,18.0,0,16,94
535,53.527695,-1.6297933,110,Slight,Fine No High Winds,Single Carriageway,35.82,1.25,15.0,0,18,92
1324,52.6852,1.199139,110,Slight,Fine No High Winds,Single Carriageway,34.27,1.25,15.0,1,10,99
1701,51.45535,-1.3099438,110,Slight,Fine No High Winds,Dual Carriageway,59.0,1.42,17.0,4,16,90
949,53.255413,-0.92278355,109,Slight,Fine No High Winds,Roundabout,61.19,1.39,15.0,1,15,93
496,53.601288,-1.5495708,109,Slight,Fine No High Winds,Dual Carriageway,64.13,1.64,8.0,5,10,94
1100,52.72752,-1.1361815,109,Slight,Fine No High Winds,Single Carriageway,43.39,1.27,8.0,1,11,97
809,52.21285,-1.8731043,108,Slight,Fine No High Winds,Single Carriageway,42.78,1.25,15.0,5,24,79
2056,50.839893,-0.665717,108,Slight,Fine No High Winds,Single Carriageway,32.5,1.25,15.0,0,22,86
1657,51.60112,-1.1270486,108,Slight,Fine No High Winds,Single Carriageway,30.0,1.07,8.0,0,21,87
901,53.189262,-1.4167137,108,Slight,Fine No High Winds,Single Carriageway,40.09,1.44,15.0,2,18,88
1470,51.70528,-0.1159034,107,Slight,Fine No High Winds,Single Carriageway,40.56,1.4,17.0,0,15,92
1925,51.294968,0.30628762,107,Slight,Fine No High Winds,Single Carriageway,41.5,1.19,17.0,2,20,85
1766,50.928333,-1.7903059,107,Slight,Fine No High Winds,Single Carriageway,36.54,1.2,14.0,3,17,87
804,52.252213,-1.3903866,107,Slight,Fine No High Winds,Single Carriageway,40.56,1.16,8.0,3,17,87
450,53.74175,-2.0156648,107,Slight,Fine No High Winds,Single Carriageway,29.63,1.25,14.0,2,24,81
1917,51.203632,0.39464098,106,Slight,Fine No High Winds,Single Carriageway,54.43,1.23,17.0,3,15,88
2616,51.707912,-4.0643334,106,Slight,Fine No High Winds,Single Carriageway,45.38,1.41,8.0,2,10,94
1927,51.22964,0.5152497,106,Slight,Fine No High Winds,Single Carriageway,37.17,1.53,15.0,0,10,96
2784,56.13608,-3.2073505,106,Slight,Fine No High Winds,Roundabout,46.51,1.27,17.0,1,12,93
532,53.576088,-1.3810217,106,Slight,Fine No High Winds,Single Carriageway,36.04,1.13,17.0,1,17,88
1238,52.635967,-0.3013508,106,Slight,Fine No High Winds,Single Carriageway,53.3,1.31,8.0,1,9,96
1259,52.35163,0.21846086,106,Slight,Fine No High Winds,Single Carriageway,52.55,1.42,15.0,4,16,86
232,53.232704,-2.5985494,105,Slight,Fine No High Winds,Single Carriageway,42.29,1.3,16.0,0,20,85
1073,53.19437,-0.53387654,105,Slight,Fine No High Winds,Single Carriageway,35.43,1.3,16.0,1,15,89
1734,50.64862,-1.2093178,105,Slight,Fine No High Winds,Single Carriageway,44.57,1.49,8.0,4,21,80
1246,52.22147,0.31876343,105,Slight,Fine No High Winds,Dual Carriageway,66.86,1.7,8.0,3,20,82
89,53.875713,-2.9572194,105,Slight,Fine No High Winds,Single Carriageway,44.1,1.47,15.0,3,19,83
1008,52.782177,0.12605476,105,Slight,Fine No High Winds,Single Carriageway,38.0,1.38,9.0,2,15,88
726,52.112858,-2.0784254,105,Slight,Fine No High Winds,Single Carriageway,28.48,1.23,17.0,2,13,90
1280,52.10614,0.17266656,105,Slight,Fine No High Winds,Single Carriageway,49.62,1.37,17.0,1,20,84
749,52.36578,-1.952211,105,Slight,Fine No High Winds,Single Carriageway,53.81,1.28,17.0,1,9,95
2533,53.25913,-3.44984,105,Slight,Fine No High Winds,Single Carriageway,36.0,1.28,17.0,2,10,93
1276,52.61318,-0.44251662,104,Slight,Fine No High Winds,Dual Carriageway,65.0,1.59,17.0,7,18,79
944,53.099915,-1.1179786,104,Slight,Fine No High Winds,Single Carriageway,32.88,1.36,8.0,1,19,84
1298,52.570255,0.8262129,104,Slight,Fine No High Winds,Single Carriageway,31.44,1.13,10.0,1,15,88
1137,52.706627,-1.506816,104,Slight,Fine No High Winds,Single Carriageway,42.4,1.27,17.0,0,18,86
2259,50.518074,-3.7494426,104,Slight,Fine No High Winds,Single Carriageway,49.33,1.43,17.0,2,10,92
2050,50.733826,-0.78876173,104,Slight,Fine No High Winds,Single Carriageway,29.9,1.25,12.0,0,11,93
37,54.82454,-3.1604893,104,Slight,Fine No High Winds,Single Carriageway,33.94,1.18,8.0,3,15,86
2498,50.875587,-1.8715873,104,Slight,Fine No High Winds,Single Carriageway,30.58,1.37,8.0,0,13,91
2094,50.987144,-0.7383896,103,Slight,Fine No High Winds,Single Carriageway,31.17,1.22,15.0,2,25,76
1531,51.716656,0.57732815,103,Slight,Fine No High Winds,Single Carriageway,33.88,1.21,17.0,0,16,87
525,53.433228,-1.1045665,103,Slight,Fine No High Winds,Single Carriageway,39.71,1.5,8.0,1,14,88
2174,50.356625,-4.4564123,103,Slight,Fine No High Winds,Single Carriageway,35.15,1.3,17.0,1,4,98
1188,52.392574,-0.5289455,103,Slight,Fine No High Winds,Single Carriageway,48.83,1.32,8.0,0,21,82
2084,50.995007,-0.34015822,102,Slight,Fine No High Winds,Dual Carriageway,53.14,1.53,12.0,2,17,83
1623,52.157974,-0.7005792,102,Slight,Fine No High Winds,Single Carriageway,40.49,1.32,8.0,1,19,82
2586,51.76873,-3.161808,102,Slight,Fine No High Winds,Single Carriageway,35.59,1.49,18.0,0,17,85
1867,51.193848,-0.55355835,102,Slight,Fine No High Winds,Single Carriageway,31.47,1.41,16.0,0,10,92
980,52.90185,-1.1199569,102,Slight,Fine No High Winds,Roundabout,58.24,1.46,18.0,0,15,87
2817,55.940575,-3.3622017,102,Slight,Fine No High Winds,Single Carriageway,45.1,1.16,8.0,1,14,87
2851,56.011806,-3.869482,102,Slight,Fine No High Winds,Single Carriageway,59.31,1.4,17.0,1,18,83
141,53.65815,-2.1757483,102,Slight,Fine No High Winds,Single Carriageway,29.22,1.36,15.0,1,23,78
1277,52.18876,0.07516542,102,Slight,Fine No High Winds,Dual Carriageway,61.18,1.29,8.0,0,13,89
2921,55.70701,-4.72014,101,Slight,Fine No High Winds,Single Carriageway,35.64,1.32,16.0,1,17,83
2038,50.82396,-0.7278626,101,Slight,Fine No High Winds,Single Carriageway,58.71,1.57,17.0,0,21,80
2618,51.51085,-3.3585382,101,Slight,Fine No High Winds,Dual Carriageway,63.76,1.57,8.0,0,9,92
2297,51.43443,-2.7582898,101,Slight,Fine No High Winds,Single Carriageway,31.98,1.27,15.0,2,12,87
2628,51.71388,-4.0359087,101,Slight,Fine No High Winds,Single Carriageway,29.9,1.31,15.0,0,13,88
896,53.188564,-1.3582186,101,Slight,Fine No High Winds,Single Carriageway,35.15,1.26,14.0,1,11,89
1418,52.143593,-0.53319746,101,Slight,Fine No High Winds,Single Carriageway,44.65,1.42,17.0,4,12,85
2281,51.46197,-2.753768,101,Slight,Fine No High Winds,Dual Carriageway,65.64,1.84,16.0,0,7,94
353,54.558617,-1.5947032,100,Slight,Fine No High Winds,Dual Carriageway,65.9,1.43,17.0,6,14,80
1525,51.670544,0.7242622,100,Slight,Fine No High Winds,Single Carriageway,43.7,1.37,17.0,2,22,76
462,53.907402,-1.3791916,100,Slight,Fine No High Winds,Dual Carriageway,61.8,1.43,16.0,1,13,86
1072,53.142128,-0.40987542,100,Slight,Fine No High Winds,Single Carriageway,45.0,1.54,17.0,4,13,83
314,54.65754,-1.5609432,100,Slight,Fine No High Winds,Single Carriageway,49.6,1.27,17.0,2,10,88
1903,51.225433,0.33695707,100,Slight,Fine No High Winds,Single Carriageway,39.3,1.38,18.0,1,17,82
1962,51.356342,1.2670189,100,Slight,Fine No High Winds,Dual Carriageway,65.8,1.52,15.0,2,19,79
2933,55.524464,-4.5972095,100,Slight,Fine No High Winds,Dual Carriageway,61.5,1.26,17.0,2,12,86
2849,56.17139,-3.9715714,100,Slight,Fine No High Winds,Dual Carriageway,66.1,1.21,16.0,4,10,86
1459,51.891853,0.009024233,99,Slight,Fine No High Winds,Dual Carriageway,65.35,1.32,8.0,1,20,78
2808,55.883812,-3.5520928,99,Slight,Fine No High Winds,Single Carriageway,37.37,1.43,17.0,0,9,90
1850,51.175247,-0.31811067,99,Slight,Fine No High Winds,Dual Carriageway,51.62,1.25,17.0,2,17,80
1189,52.339542,-0.6518773,99,Slight,Fine No High Winds,Single Carriageway,35.05,1.29,17.0,3,24,72
2488,50.78693,-2.071569,99,Slight,Fine No High Winds,Single Carriageway,55.76,1.67,16.0,2,19,78
499,53.913776,-1.7486142,99,Slight,Fine No High Winds,Single Carriageway,43.94,1.31,15.0,0,13,86
198,53.297318,-3.046634,98,Slight,Fine No High Winds,Single Carriageway,42.86,1.48,8.0,0,16,82
587,53.91025,-0.17013583,98,Slight,Fine No High Winds,Single Carriageway,29.08,1.26,15.0,1,13,84
999,52.804264,-0.6119654,98,Slight,Fine No High Winds,Dual Carriageway,62.86,1.6,15.0,4,5,89
1295,52.94087,1.2097604,98,Slight,Fine No High Winds,Single Carriageway,30.2,1.11,11.0,0,12,86
214,53.289944,-2.1284294,98,Slight,Fine No High Winds,Single Carriageway,46.94,1.31,8.0,0,20,78
894,53.206093,-1.3769393,98,Slight,Fine No High Winds,Single Carriageway,52.96,1.39,17.0,1,14,83
1226,52.499783,-0.2915171,98,Slight,Fine No High Winds,Dual Carriageway,58.98,1.48,12.0,1,18,79
332,54.73152,-1.3796754,98,Slight,Fine No High Winds,Single Carriageway,35.2,1.63,15.0,0,18,80
1447,51.927963,-0.5830919,98,Slight,Fine No High Winds,Single Carriageway,46.02,1.39,17.0,2,13,83
2224,50.779247,-3.0327687,97,Slight,Fine No High Winds,Single Carriageway,51.86,1.7,12.0,4,16,77
2310,51.38787,-2.8212469,97,Slight,Fine No High Winds,Single Carriageway,32.47,1.2,13.0,2,8,87
2265,50.41038,-3.8471475,97,Slight,Fine No High Winds,Dual Carriageway,61.34,1.3,9.0,3,10,84
2561,53.204105,-4.1771007,97,Slight,Fine No High Winds,Single Carriageway,53.2,1.62,17.0,0,7,90
2887,55.953327,-4.9270473,97,Slight,Fine No High Winds,Single Carriageway,30.41,1.32,15.0,0,12,85
428,53.925297,-1.0683969,97,Slight,Fine No High Winds,Dual Carriageway,52.68,1.57,11.0,1,12,84
326,54.812073,-1.5053275,97,Slight,Fine No High Winds,Single Carriageway,47.73,1.62,16.0,1,14,82
511,53.574818,-1.0726315,97,Slight,Fine No High Winds,Single Carriageway,36.39,1.49,8.0,3,15,79
2902,55.8199,-3.7985232,97,Slight,Fine No High Winds,Single Carriageway,31.03,1.31,18.0,0,13,84
1126,52.74149,-1.2736504,97,Slight,Fine No High Winds,Dual Carriageway,64.74,1.59,18.0,1,9,87
867,52.88351,-1.7522806,97,Slight,Fine No High Winds,Roundabout,65.77,1.39,17.0,0,13,84
1783,50.87297,-1.5745623,97,Slight,Fine No High Winds,Single Carriageway,38.56,1.47,15.0,1,25,71
2765,56.388783,-3.487191,96,Slight,Fine No High Winds,Dual Carriageway,65.21,1.45,13.0,1,19,76
1214,52.266205,0.17918557,96,Slight,Fine No High Winds,Single Carriageway,53.44,1.45,18.0,2,15,79
1948,51.16426,0.55220443,96,Slight,Fine No High Winds,Single Carriageway,36.98,1.42,15.0,0,13,83
2920,55.750195,-4.6291738,96,Slight,Fine No High Winds,Single Carriageway,43.85,1.4,19.0,3,16,77
2017,50.820713,0.27262214,96,Slight,Fine No High Winds,Dual Carriageway,56.88,1.42,8.0,3,17,76
969,52.854202,-1.0342966,96,Slight,Fine No High Winds,Single Carriageway,59.48,1.46,16.0,2,17,77
1419,52.085983,-0.5221488,96,Slight,Fine No High Winds,Single Carriageway,60.0,1.61,7.0,2,17,77
701,52.863117,-1.6825193,95,Slight,Fine No High Winds,Single Carriageway,35.68,1.17,17.0,4,16,75
2080,51.024017,0.46794328,95,Slight,Fine No High Winds,Single Carriageway,48.32,1.74,16.0,5,27,63
161,53.495304,-2.7118518,95,Slight,Fine No High Winds,Single Carriageway,32.53,1.27,8.0,2,16,77
2620,51.6625,-3.4494784,95,Slight,Fine No High Winds,Single Carriageway,30.21,1.43,12.0,1,9,85
2432,51.237614,-1.6627374,95,Slight,Fine No High Winds,Single Carriageway,30.84,1.59,16.0,0,18,77
1303,52.637608,1.5520256,95,Slight,Fine No High Winds,Single Carriageway,48.0,1.59,16.0,1,9,85
789,52.6788,-2.4070704,95,Slight,Fine No High Winds,Single Carriageway,56.95,1.33,8.0,1,10,84
750,52.354843,-1.8862973,95,Slight,Fine No High Winds,Dual Carriageway,66.32,1.36,17.0,3,5,87
1666,51.805573,-1.6377541,95,Slight,Fine No High Winds,Single Carriageway,43.47,1.46,8.0,1,13,81
1249,52.099342,0.27094254,95,Slight,Fine No High Winds,Single Carriageway,48.42,1.31,16.0,2,16,77
2880,55.934174,-4.5129223,95,Slight,Fine No High Winds,Dual Carriageway,51.05,1.29,20.0,0,13,82
941,53.118282,-1.114621,94,Slight,Fine No High Winds,Single Carriageway,36.28,1.28,15.0,1,20,73
2852,56.134926,-3.833486,94,Slight,Fine No High Winds,Single Carriageway,34.15,1.22,17.0,1,12,81
698,52.65591,-1.8820649,94,Slight,Fine No High Winds,Dual Carriageway,62.77,1.41,17.0,1,2,91
2893,55.92203,-4.0565977,94,Slight,Fine No High Winds,Dual Carriageway,53.62,1.32,8.0,1,7,86
2306,51.402172,-2.4588861,94,Slight,Fine No High Winds,Single Carriageway,32.13,1.33,12.0,1,12,81
543,53.319992,-1.5261272,94,Slight,Fine No High Winds,Single Carriageway,30.21,1.21,9.0,1,15,78
2199,50.7394,-3.9987507,94,Slight,Fine No High Winds,Single Carriageway,36.17,1.33,12.0,0,13,81
1396,51.991413,1.3123157,94,Slight,Fine No High Winds,Single Carriageway,48.4,1.32,17.0,3,9,82
939,53.4178,-1.0656674,93,Slight,Fine No High Winds,Single Carriageway,32.58,1.41,18.0,1,14,78
1325,52.60345,0.377331,93,Slight,Fine No High Winds,Single Carriageway,29.78,1.16,15.0,0,9,84
670,52.7421,-1.8741201,93,Slight,Fine No High Winds,Single Carriageway,34.19,1.2,17.0,0,4,89
2912,55.715237,-3.957081,93,Slight,Fine No High Winds,Single Carriageway,57.2,1.48,17.0,1,17,75
1231,52.448246,-0.10961994,93,Slight,Fine No High Winds,Single Carriageway,31.29,1.17,8.0,1,9,83
1607,51.623417,-0.83623993,92,Slight,Fine No High Winds,Dual Carriageway,55.0,1.58,8.0,1,19,72
895,53.26541,-1.2191284,92,Slight,Fine No High Winds,Single Carriageway,37.83,1.32,15.0,0,13,79
2924,55.753376,-4.686174,92,Slight,Fine No High Winds,Single Carriageway,33.59,1.21,8.0,1,20,71
226,53.289093,-2.5013523,92,Slight,Fine No High Winds,Single Carriageway,56.3,1.6,12.0,2,23,67
2763,56.73186,-2.65576,92,Slight,Fine No High Winds,Single Carriageway,30.33,1.14,17.0,0,23,69
309,54.654907,-1.447539,92,Slight,Fine No High Winds,Single Carriageway,48.8,1.62,16.0,2,8,82
485,53.820328,-1.9039338,92,Slight,Fine No High Winds,Single Carriageway,39.02,1.42,15.0,4,22,66
80,54.104374,-2.7922108,92,Slight,Fine No High Winds,Single Carriageway,34.46,1.6,15.0,2,12,78
1854,51.40873,-0.5937591,92,Slight,Fine No High Winds,Single Carriageway,45.11,1.62,16.0,0,16,76
1109,52.657772,-0.51392084,92,Slight,Fine No High Winds,Single Carriageway,52.5,1.45,7.0,2,10,80
829,52.343353,-1.3351942,91,Slight,Fine No High Winds,Single Carriageway,56.15,1.33,15.0,2,13,76
1050,53.106762,-0.17668667,91,Slight,Fine No High Winds,Single Carriageway,33.85,1.2,16.0,0,7,84
903,53.27685,-1.2631773,91,Slight,Fine No High Winds,Single Carriageway,31.1,1.18,18.0,0,16,75
437,54.146736,-1.4332441,91,Slight,Fine No High Winds,Dual Carriageway,67.69,1.6,13.0,0,17,74
1076,53.496136,-0.3121499,91,Slight,Fine No High Winds,Single Carriageway,50.22,1.35,7.0,0,21,70
470,53.73085,-1.9804225,91,Slight,Fine No High Winds,Single Carriageway,31.87,1.36,14.0,1,24,66
768,52.84506,-3.036291,91,Slight,Fine No High Winds,Single Carriageway,52.09,1.47,14.0,3,11,77
611,53.74456,-0.24628493,91,Slight,Fine No High Winds,Dual Carriageway,39.34,1.37,17.0,0,15,76
1874,51.425797,0.55713916,91,Slight,Fine No High Winds,Single Carriageway,38.57,1.15,15.0,3,8,80
1174,52.34882,-1.1549432,91,Slight,Fine No High Winds,Dual Carriageway,66.04,1.46,7.0,1,11,79
540,53.3157,-1.2819002,90,Slight,Fine No High Winds,Dual Carriageway,66.89,1.52,11.0,3,8,79
1329,52.570084,1.1149284,90,Slight,Fine No High Winds,Single Carriageway,30.67,1.07,15.0,1,18,71
2898,55.97532,-4.0567117,90,Slight,Fine No High Winds,Single Carriageway,31.11,1.1,15.0,1,15,74
304,54.71099,-1.691525,90,Slight,Fine No High Winds,Single Carriageway,32.0,1.44,17.0,2,14,74
2635,51.613823,-3.7611516,90,Slight,Fine No High Winds,Single Carriageway,36.33,1.52,19.0,1,11,78
520,53.43159,-1.0203518,90,Slight,Fine No High Winds,Single Carriageway,33.67,1.52,15.0,2,15,73
412,53.794846,-1.0377495,89,Slight,Fine No High Winds,Single Carriageway,45.28,1.53,8.0,1,21,67
706,52.76145,-1.7022945,89,Slight,Fine No High Winds,Dual Carriageway,60.11,1.63,8.0,2,5,82
27,54.26511,-2.9701755,89,Slight,Fine No High Winds,Single Carriageway,59.78,1.48,13.0,1,14,74
1784,51.301872,-0.905372,89,Slight,Fine No High Winds,Single Carriageway,38.2,1.29,15.0,0,8,81
1242,52.695225,0.14476493,89,Slight,Fine No High Winds,Single Carriageway,57.3,1.56,7.0,6,15,68
96,53.66297,-2.7247715,89,Slight,Fine No High Winds,Single Carriageway,43.15,1.6,16.0,1,17,71
609,53.861893,-0.66766185,89,Slight,Fine No High Winds,Single Carriageway,40.79,1.48,16.0,2,18,69
1438,52.06643,-0.5497452,89,Slight,Fine No High Winds,Single Carriageway,52.47,1.53,18.0,4,22,63
351,54.546284,-1.9203444,89,Slight,Fine No High Winds,Single Carriageway,31.8,1.31,12.0,0,10,79
2523,53.221478,-4.191891,89,Slight,Fine No High Winds,Single Carriageway,44.16,1.48,15.0,1,19,69
1030,53.38696,-0.33518714,89,Slight,Fine No High Winds,Single Carriageway,32.36,1.28,16.0,1,15,73
2622,51.679638,-3.7744417,89,Slight,Fine No High Winds,Single Carriageway,46.63,1.52,15.0,0,13,76
1283,52.2203,-0.070781626,88,Slight,Fine No High Winds,Single Carriageway,40.45,1.27,17.0,0,18,70
378,53.906006,-1.1888248,88,Slight,Fine No High Winds,Dual Carriageway,66.82,1.74,19.0,7,14,67
2455,51.438198,-2.0620694,88,Slight,Fine No High Winds,Single Carriageway,50.68,1.57,17.0,2,11,75
2100,50.85338,0.058622364,88,Slight,Fine No High Winds,Single Carriageway,52.95,1.59,8.0,0,22,66
1869,51.11144,-0.5123627,88,Slight,Fine No High Winds,Single Carriageway,48.41,1.44,8.0,0,12,76
416,54.469433,-1.1908485,88,Slight,Fine No High Winds,Single Carriageway,36.36,1.27,15.0,3,19,66
1272,52.43436,-0.27424362,88,Slight,Fine No High Winds,Dual Carriageway,57.84,1.33,13.0,2,10,76
2494,50.68434,-2.2223456,88,Slight,Fine No High Winds,Single Carriageway,42.05,1.51,16.0,2,16,70
1919,51.37177,0.3601357,88,Slight,Fine No High Winds,Single Carriageway,32.73,1.25,9.0,2,8,78
951,53.359093,-1.1186612,88,Slight,Fine No High Winds,Single Carriageway,32.27,1.32,12.0,1,20,67
15,54.235874,-2.715537,88,Slight,Fine No High Winds,Dual Carriageway,64.55,1.43,13.0,1,13,74
2353,51.354897,-2.3154294,88,Slight,Fine No High Winds,Single Carriageway,43.86,1.56,17.0,0,15,73
17,54.27515,-2.764763,88,Slight,Fine No High Winds,Dual Carriageway,65.23,1.6,17.0,4,12,72
782,52.96845,-2.6822531,88,Slight,Fine No High Winds,Single Carriageway,30.45,1.2,12.0,1,9,78
978,52.968277,-0.95806825,87,Slight,Fine No High Winds,Single Carriageway,57.93,1.44,17.0,0,12,75
1905,51.12957,0.19863091,87,Slight,Fine No High Winds,Single Carriageway,46.55,1.32,8.0,0,12,75
2032,50.80427,-0.7327453,87,Slight,Fine No High Winds,Single Carriageway,55.86,1.6,8.0,1,13,73
1040,53.17401,0.09393487,86,Slight,Fine No High Winds,Single Carriageway,34.65,1.35,8.0,1,12,73
2789,56.318497,-3.0147567,86,Slight,Fine No High Winds,Single Carriageway,30.12,1.12,8.0,0,16,70
210,53.35648,-2.3285291,86,Slight,Fine No High Winds,Dual Carriageway,62.91,1.71,17.0,1,13,72
1374,52.151882,1.0577375,86,Slight,Fine No High Winds,Single Carriageway,40.58,1.16,17.0,0,9,77
2095,50.87543,-0.29743204,86,Slight,Fine No High Winds,Single Carriageway,47.79,1.4,17.0,1,15,70
1001,52.804688,-0.059233963,86,Slight,Fine No High Winds,Single Carriageway,51.98,1.41,16.0,4,12,70
2314,51.05377,-2.411147,86,Slight,Fine No High Winds,Single Carriageway,40.58,1.3,12.0,0,8,78
2318,51.023785,-2.663619,86,Slight,Fine No High Winds,Roundabout,63.49,1.36,17.0,0,7,79
2841,56.001617,-3.888393,86,Slight,Fine No High Winds,Single Carriageway,33.72,1.24,18.0,2,19,65
595,53.70604,-0.9121604,86,Slight,Fine No High Winds,Single Carriageway,51.4,1.53,15.0,2,16,68
593,53.77078,-0.67499274,86,Slight,Fine No High Winds,Single Carriageway,62.33,1.71,16.0,1,17,68
862,52.97356,-1.3634638,86,Slight,Fine No High Winds,Single Carriageway,36.05,1.37,16.0,0,19,67
2422,51.68457,-2.3556511,86,Slight,Fine No High Winds,Single Carriageway,31.05,1.22,15.0,1,12,73
832,52.49877,-1.5418516,85,Slight,Fine No High Winds,Single Carriageway,55.06,1.62,9.0,0,15,70
1105,52.691307,-1.4006691,85,Slight,Fine No High Winds,Single Carriageway,32.71,1.33,16.0,1,12,72
2237,50.49111,-4.0875616,85,Slight,Fine No High Winds,Single Carriageway,46.0,1.28,16.0,0,16,69
1797,50.954678,-1.2149571,85,Slight,Fine No High Winds,Single Carriageway,32.47,1.2,8.0,2,13,70
411,54.20987,-0.29358497,85,Slight,Fine No High Winds,Single Carriageway,31.06,1.18,15.0,1,19,65
1968,51.36953,0.2503382,85,Slight,Fine No High Winds,Dual Carriageway,64.47,1.75,7.0,3,13,69
3012,52.91751,-3.043083,85,Slight,Fine No High Winds,Single Carriageway,55.41,1.44,12.0,1,7,77
2721,58.59318,-3.5231836,85,Slight,Fine No High Winds,Single Carriageway,29.76,1.11,17.0,1,7,77
1475,51.78895,-0.63242114,85,Slight,Fine No High Winds,Single Carriageway,63.06,1.48,8.0,1,17,67
